created_at,site,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-04-08 17:00:00 UTC,AJ_O,23.44,70.37,142.26,20.36,-46.82,70.36,28.15,48.03
2019-04-08 18:00:00 UTC,AJ_O,0.47,0.2,0.29,61.66,-45.52,74.79,25.52,0.2
2019-04-09 14:00:00 UTC,AJ_O,0,0.2,0.4,1.33,-47.67,67.33,29.33,0.2
2019-04-09 15:00:00 UTC,AJ_O,16.92,50.5,106.97,33.33,-48.2,74.89,23.31,34.13
2019-04-09 16:00:00 UTC,AJ_O,1.06,0.13,0.13,84.66,-47.84,80.56,19.78,0.13
2019-11-22 15:00:00 UTC,AJ_O,23.36,30.29,33.85,3.67,-6,89.33,55.67,28.59
2019-11-22 16:00:00 UTC,AJ_O,24.54,31.52,34.13,7,-11.6,89.6,55.4,29.93
2019-11-23 09:00:00 UTC,AJ_O,49.51,67.1,73.17,26,-73.96,98.08,46.32,48.44
2019-11-23 10:00:00 UTC,AJ_O,46.74,63.5,69.71,81,-71.33,98.37,45.7,46.99
2019-11-23 11:00:00 UTC,AJ_O,36.69,49.56,54.44,141,-71.7,98.2,45.47,40.61
2019-11-23 12:00:00 UTC,AJ_O,34.54,46.63,51.38,196,-71.64,98.76,43.8,39.16
2019-11-23 13:00:00 UTC,AJ_O,23.94,30.9,33.48,24,-78.91,95.57,48.52,29.24
2019-11-23 14:00:00 UTC,AJ_O,18.55,23.54,25.42,77,-78.3,94.63,49.17,23.13
2019-11-23 15:00:00 UTC,AJ_O,22.17,27.83,30.05,137,-77.8,93.3,51.73,26.43
2019-11-23 16:00:00 UTC,AJ_O,28.62,36.93,39.88,197,-77.53,92.3,53.57,33.04
2019-11-23 17:00:00 UTC,AJ_O,28.63,36.17,38.75,257,-77.63,90.6,56.93,32.7
2019-11-23 18:00:00 UTC,AJ_O,29.77,38.07,41.24,317,-78.5,89,59.83,34.12
2019-11-23 19:00:00 UTC,AJ_O,39.25,49.83,53.99,377,-78.5,89.03,60.1,40.55
2019-11-23 20:00:00 UTC,AJ_O,61.79,84.96,93.67,437,-78.2,89.03,60.47,60.3
2019-11-23 21:00:00 UTC,AJ_O,30.71,40.57,45.24,497,-78.47,88.97,61.73,35.91
2019-11-23 22:00:00 UTC,AJ_O,28.73,37.73,42.52,557,-78.27,88.2,62.17,34.11
2019-11-23 23:00:00 UTC,AJ_O,19.67,26.25,29.4,617,-77.47,87.87,62.43,25.97
2019-11-24 00:00:00 UTC,AJ_O,24.99,34.93,39.27,677,-77.5,86.93,64.03,32.58
2019-11-24 01:00:00 UTC,AJ_O,27.55,38.82,43.1,737,-76.2,86.27,64.87,34.99
2019-11-24 02:00:00 UTC,AJ_O,30.65,43.11,47.6,797,-76.67,85.87,66.53,37.46
2019-11-24 03:00:00 UTC,AJ_O,27.68,39.09,43.03,857,-76.07,85.07,67.63,35.01
2019-11-24 04:00:00 UTC,AJ_O,32.97,46.09,50.42,917,-75.97,84.8,68,38.98
2019-11-24 05:00:00 UTC,AJ_O,31.45,44.12,48.52,977,-76.4,84.43,68.2,37.9
2019-11-24 06:00:00 UTC,AJ_O,116.33,171.28,187.1,1037,-76.93,88.4,62.83,118.28
2019-11-24 07:00:00 UTC,AJ_O,29.16,40.01,44.47,1097,-78.83,98.67,47.4,35.21
2019-11-24 08:00:00 UTC,AJ_O,24.92,33.15,36.33,1157,-79.13,103.97,40.33,31.09
2019-11-24 09:00:00 UTC,AJ_O,32.78,43.81,47.53,1217,-79.1,99.4,44.77,37.81
