created_at,site,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-04-08 17:00:00 UTC,AJ_U,27.26,67.32,162.04,31253.58,0,871.11,,46.08
2019-04-08 18:00:00 UTC,AJ_U,0.37,0.17,0.27,31318.34,0,870.88,,0.17
2019-04-09 14:00:00 UTC,AJ_U,0.27,0.43,0.92,31320,0,858.75,,0.43
2019-04-09 15:00:00 UTC,AJ_U,19.52,50.81,124.45,31305.07,0,858.52,,34.42
2019-04-09 16:00:00 UTC,AJ_U,0.11,0.44,0.37,31152,0,858.69,,0.44
2019-11-22 15:00:00 UTC,AJ_U,26.02,33.52,38.44,31408,0,1001.32,,30.84
2019-11-22 16:00:00 UTC,AJ_U,26.41,33.35,38.36,26606.4,0,1000.75,,31.17
2019-11-23 09:00:00 UTC,AJ_U,50.84,68.23,77.89,19456,0,1004.64,,48.9
2019-11-23 10:00:00 UTC,AJ_U,47.85,63.94,72.67,19312,0,1004.2,,47.14
2019-11-23 11:00:00 UTC,AJ_U,37.98,50.67,58.28,19226.93,0,1003.32,,41.14
2019-11-23 12:00:00 UTC,AJ_U,35.53,47.67,54.37,19133.76,0,1002.26,,39.68
2019-11-23 13:00:00 UTC,AJ_U,24.61,31.79,35.92,19467.83,0,1001.58,,29.89
2019-11-23 14:00:00 UTC,AJ_U,18.95,24.07,27.4,19272.53,0,1001.17,,23.6
2019-11-23 15:00:00 UTC,AJ_U,22.27,28.39,31.98,19272.53,0,1001.25,,26.9
2019-11-23 16:00:00 UTC,AJ_U,28.91,37.36,41.87,19177.87,0,1001.51,,33.32
2019-11-23 17:00:00 UTC,AJ_U,29.42,37.23,41.57,19215.47,0,1002.28,,33.33
2019-11-23 18:00:00 UTC,AJ_U,30.13,38.83,43.44,19226.93,0,1002.97,,34.6
2019-11-23 19:00:00 UTC,AJ_U,39.32,50.28,56.43,19155.47,0,1003.96,,40.79
2019-11-23 20:00:00 UTC,AJ_U,61.58,83.2,96.16,19204.8,0,1004.6,,59.15
2019-11-23 21:00:00 UTC,AJ_U,30.87,40.72,47.88,19263.2,0,1004.87,,35.96
2019-11-23 22:00:00 UTC,AJ_U,28.97,38.43,46.03,19200.8,0,1004.71,,34.51
2019-11-23 23:00:00 UTC,AJ_U,20.32,27.08,31.99,19302.93,0,1004.61,,26.69
2019-11-24 00:00:00 UTC,AJ_U,25.72,35.8,42.92,19210.4,0,1004.18,,33.14
2019-11-24 01:00:00 UTC,AJ_U,28.64,39.95,46.25,19215.73,0,1003.4,,35.67
2019-11-24 02:00:00 UTC,AJ_U,31.52,44.42,50.97,19255.47,0,1002.75,,38.21
2019-11-24 03:00:00 UTC,AJ_U,29.21,40.67,46.67,19257.33,0,1002.63,,35.94
2019-11-24 04:00:00 UTC,AJ_U,34.39,47.86,54.23,19259.47,0,1003.03,,39.91
2019-11-24 05:00:00 UTC,AJ_U,32.65,45.62,52.26,19221.6,0,1003.81,,38.73
2019-11-24 06:00:00 UTC,AJ_U,117.86,169.02,189.7,19157.33,0,1004.34,,116.65
2019-11-24 07:00:00 UTC,AJ_U,30.71,41.35,47.34,19120.53,0,1005.01,,36.09
2019-11-24 08:00:00 UTC,AJ_U,26.44,34.92,39.91,19181.6,0,1005.27,,32.25
2019-11-24 09:00:00 UTC,AJ_U,33.98,44.96,51.28,19284,0,1005.32,,38.41
2019-11-24 10:00:00 UTC,AJ_U,24.83,33.41,37.68,19261.07,0,1005.01,,31.27
2019-11-24 11:00:00 UTC,AJ_U,17.71,23.09,26.56,19113.07,0,1004.14,,23.01
2019-11-24 12:00:00 UTC,AJ_U,20.76,27.88,32.19,19189.07,0,1003.16,,26.19
2019-11-24 13:00:00 UTC,AJ_U,19.44,25.22,28.46,19221.6,0,1002.37,,24.55
2019-11-24 14:00:00 UTC,AJ_U,19.8,25.68,29.36,19232.8,0,1001.61,,25.31
2019-11-24 15:00:00 UTC,AJ_U,17.28,22.33,25.62,19291.43,0,1001.26,,22.13
2019-11-24 16:00:00 UTC,AJ_U,17.2,22.12,25.32,19284.27,0,1001.48,,21.8
2019-11-24 17:00:00 UTC,AJ_U,24.77,31.6,36.15,19322.67,0,1001.78,,29.69
2019-11-24 18:00:00 UTC,AJ_U,31.04,40.18,46.11,19289.07,0,1002.62,,35.42
2019-11-24 19:00:00 UTC,AJ_U,26.39,33.75,39.18,19372.14,0,1003.37,,31.15
2019-11-24 20:00:00 UTC,AJ_U,18.72,24.62,28.68,19144,0,1004.37,,23.81
2019-11-24 21:00:00 UTC,AJ_U,15.97,21.35,25.62,19119.73,0,1004.76,,21.08
2019-11-24 22:00:00 UTC,AJ_U,12.57,16.57,19.58,19182.4,0,1004.51,,16.53
2019-11-24 23:00:00 UTC,AJ_U,26.22,37.1,45.23,18980,0,1004.65,,33.06
2019-11-25 00:00:00 UTC,AJ_U,27.95,39.49,46.67,19200.8,0,1004.26,,35.38
2019-11-25 01:00:00 UTC,AJ_U,23.53,33.06,38.45,19108.8,0,1003.71,,31.51
2019-11-25 02:00:00 UTC,AJ_U,19.33,26.65,30.67,19120.27,0,1003.27,,26.47
2019-11-25 03:00:00 UTC,AJ_U,15.23,20.55,24.17,19201.33,0,1003.33,,20.53
2019-11-25 04:00:00 UTC,AJ_U,15.82,21.36,24.31,19233.87,0,1003.62,,21.35
2019-11-25 05:00:00 UTC,AJ_U,30.75,41.62,47.26,19199.73,0,1003.97,,36.37
2019-11-25 06:00:00 UTC,AJ_U,28.87,37.88,43.41,19223.73,0,1004.38,,34.31
2019-11-25 07:00:00 UTC,AJ_U,20.81,27.33,31.94,19193.87,0,1004.95,,26.05
2019-11-25 08:00:00 UTC,AJ_U,16.35,21.57,26.73,19112.53,0,1005.21,,21.53
2019-11-25 09:00:00 UTC,AJ_U,18.89,24.5,28.17,19137.07,0,1005.02,,24.43
2019-11-25 10:00:00 UTC,AJ_U,21.01,27.03,30.87,19182.4,0,1004.57,,26.46
2019-11-25 11:00:00 UTC,AJ_U,24.45,31.55,35.86,19221.87,0,1003.8,,30.11
2019-11-25 12:00:00 UTC,AJ_U,23.92,31.33,35.58,19228.8,0,1003.01,,29.75
2019-11-25 13:00:00 UTC,AJ_U,32.29,42.97,49.02,19148.27,0,1002.31,,36.63
2019-11-25 14:00:00 UTC,AJ_U,22,28.9,33.14,19154.93,0,1001.96,,28.17
2019-11-25 15:00:00 UTC,AJ_U,26.05,34.13,39.36,19222.13,0,1001.91,,31.93
2019-11-25 16:00:00 UTC,AJ_U,31.89,43.01,49.83,19156.8,0,1002.16,,36.44
2019-11-25 17:00:00 UTC,AJ_U,33.01,47.09,57.03,19261.6,0,1002.84,,39.06
2019-11-25 18:00:00 UTC,AJ_U,25.34,35.37,42.87,19149.6,0,1003.33,,32.59
2019-11-25 19:00:00 UTC,AJ_U,26.84,36.97,44.19,19150.93,0,1003.8,,33.74
2019-11-25 20:00:00 UTC,AJ_U,17.29,23.29,27.51,19278.13,0,1004.78,,23.15
2019-11-25 21:00:00 UTC,AJ_U,22.55,30.85,37.1,19158.67,0,1004.77,,29.2
2019-11-25 22:00:00 UTC,AJ_U,30.68,43.53,52.8,19233.07,0,1004.81,,37.69
2019-11-25 23:00:00 UTC,AJ_U,26.2,36.38,42.9,19264,0,1004.69,,33.51
2019-11-26 00:00:00 UTC,AJ_U,22.86,31.71,36.56,19188,0,1004.17,,30.63
2019-11-26 01:00:00 UTC,AJ_U,23.42,32.61,37.62,19144.8,0,1003.46,,31.24
2019-11-26 02:00:00 UTC,AJ_U,23.28,31.95,37.09,19167.47,0,1003.2,,30.62
2019-11-26 03:00:00 UTC,AJ_U,21.98,30.03,34.5,19148.27,0,1002.9,,28.47
2019-11-26 04:00:00 UTC,AJ_U,18.29,24.77,28.14,19199.47,0,1003.02,,24.74
2019-11-26 05:00:00 UTC,AJ_U,26.77,35.42,39.84,19125.6,0,1003.21,,32.76
2019-11-26 06:00:00 UTC,AJ_U,30.56,40.82,46.81,19290.67,0,1003.97,,36.09
2019-11-26 07:00:00 UTC,AJ_U,27.83,37.25,43.07,19120,0,1004.66,,33.77
2019-11-26 08:00:00 UTC,AJ_U,23.28,31,36.29,19155.73,0,1004.93,,29.54
2019-11-26 09:00:00 UTC,AJ_U,20.84,27.66,32.55,19089.87,0,1004.78,,27.28
