created_at,site,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,Temperature_F,Humidity_%,PM2.5_ATM_ug/m3
2019-04-08 17:00:00 UTC,DJ_O,23.76,62.66,132.37,19.53,-48.94,72.12,27.94,42.7
2019-04-08 18:00:00 UTC,DJ_O,0.78,0.13,0.23,61.41,-49.38,77.14,24.69,0.13
2019-04-09 14:00:00 UTC,DJ_O,0,0.05,0.05,1.33,-56,68.33,29.67,0.05
2019-04-09 15:00:00 UTC,DJ_O,16.98,44.55,97.11,33.34,-55.45,75.82,23.75,30.21
2019-04-09 16:00:00 UTC,DJ_O,0.19,0.36,0.26,84.66,-54.62,81.44,20.19,0.36
2019-11-13 11:00:00 UTC,DJ_O,27.68,41.22,57.65,17.54,-85.92,98.5,47.65,34.41
2019-11-13 12:00:00 UTC,DJ_O,19.94,26.43,31.33,71,-85.93,100.87,47.2,26.07
2019-11-13 13:00:00 UTC,DJ_O,21.64,27.78,31.25,131,-85.67,102.1,42.93,27.26
2019-11-13 14:00:00 UTC,DJ_O,19.5,24.67,27.27,190.83,-85.86,99.14,44.62,24.27
2019-11-13 15:00:00 UTC,DJ_O,19.65,25.08,28.56,251,-87.73,95.27,50.13,24.31
2019-11-13 16:00:00 UTC,DJ_O,22.63,28.96,32.57,311,-91.97,92.6,55.3,27.44
2019-11-13 17:00:00 UTC,DJ_O,26.05,32.68,36.48,371,-91.7,90.97,60,30.38
2019-11-13 18:00:00 UTC,DJ_O,30.06,38.74,43.23,431.03,-87.87,89.37,64.13,33.7
2019-11-13 19:00:00 UTC,DJ_O,27.74,35.84,40.4,491,-86.67,89.2,64.97,31.66
2019-11-13 20:00:00 UTC,DJ_O,20.68,26.81,30.35,551,-86.33,90,64.53,26.27
2019-11-13 21:00:00 UTC,DJ_O,20.12,26.64,30.38,611.03,-86,89.73,64.7,26.15
2019-11-13 22:00:00 UTC,DJ_O,17.73,23.33,26.45,671,-85.57,89.03,66.7,23.31
2019-11-13 23:00:00 UTC,DJ_O,24.58,32.56,37.18,731,-85.43,88.1,69.6,31.02
2019-11-14 00:00:00 UTC,DJ_O,32.05,43.55,49.18,791,-86.43,87.07,72.03,37.75
2019-11-14 01:00:00 UTC,DJ_O,29.65,41.11,47.44,851,-85.63,86.8,71.8,36.19
2019-11-14 02:00:00 UTC,DJ_O,29.26,39.78,45.37,911,-85.4,85.83,73.6,35.56
2019-11-14 03:00:00 UTC,DJ_O,30.24,41.5,47.02,971,-86.3,85.37,74.1,36.56
2019-11-14 04:00:00 UTC,DJ_O,41.2,54.01,59.45,1031,-85.57,85,74.33,44.23
2019-11-14 05:00:00 UTC,DJ_O,25.26,33.11,36.62,1091,-85.17,84.8,74.87,31.57
2019-11-14 06:00:00 UTC,DJ_O,22.49,29.4,32.78,1151,-85.47,85.47,74,28.8
2019-11-14 07:00:00 UTC,DJ_O,25.5,36.42,42.57,1211,-86.2,80.83,79.57,32.82
2019-11-14 08:00:00 UTC,DJ_O,10.93,14.88,17.22,1271.07,-86.27,79.37,80.27,14.79
2019-11-14 09:00:00 UTC,DJ_O,7.33,9.65,10.96,1331.03,-87.97,80.07,78.27,9.65
2019-11-14 10:00:00 UTC,DJ_O,15.64,21.08,23.9,1391.86,-85.72,82.55,74.14,19.92
2019-11-14 11:00:00 UTC,DJ_O,15.5,20.28,22.57,1451,-85.97,86.23,66.17,20.28
2019-11-14 12:00:00 UTC,DJ_O,19.91,25.73,28.72,1511,-86.67,91.03,57.93,25.36
2019-11-14 13:00:00 UTC,DJ_O,20.3,26.06,29.07,1571,-87.03,95.63,51.57,25.73
2019-11-14 14:00:00 UTC,DJ_O,25.91,33.79,37.57,1631.03,-85.97,94.4,53.8,31.35
2019-11-14 15:00:00 UTC,DJ_O,24.86,32.05,35.61,1690.46,-85.21,93.04,55.89,30.64
2019-11-14 16:00:00 UTC,DJ_O,37.85,49.55,55.53,1751,-85.9,91.5,58.43,40.31
2019-11-14 17:00:00 UTC,DJ_O,44.6,57.78,63.87,1801.1,-87.3,89.25,62.25,44.51
2019-11-14 18:00:00 UTC,DJ_O,34.43,45.27,50.24,40.6,-86.7,87.95,65.75,37.96
2019-11-14 19:00:00 UTC,DJ_O,35.56,46.63,52.27,91,-87,86.57,70.07,39.43
2019-11-14 20:00:00 UTC,DJ_O,35.02,47.05,52.93,149.36,-86.79,85.5,71.93,39.65
2019-11-14 21:00:00 UTC,DJ_O,50.76,69.29,77.8,209.38,-87.59,84.83,73.41,49.11
2019-11-14 22:00:00 UTC,DJ_O,56.72,77.83,87.18,264.04,-91.08,84.96,72.33,52.41
2019-11-14 23:00:00 UTC,DJ_O,48.44,67.08,75.37,27,-89.23,83.96,73.85,48.26
2019-11-15 00:00:00 UTC,DJ_O,49.02,67.8,76.32,83,-88.8,83.9,74.43,48.54
2019-11-15 01:00:00 UTC,DJ_O,43.3,59.32,66.11,143,-87.97,83.17,75.4,45.22
2019-11-15 02:00:00 UTC,DJ_O,35.44,48.09,53.39,203,-87.97,82.8,75.83,40.1
2019-11-15 03:00:00 UTC,DJ_O,40.72,55.79,62.14,263,-88.23,82.27,76.33,43.63
2019-11-15 04:00:00 UTC,DJ_O,38.39,53.05,59.33,323,-88.13,82,76.07,42.5
2019-11-15 05:00:00 UTC,DJ_O,47.94,64.87,72.46,382.41,-88.03,82.07,75.07,47.41
2019-11-15 06:00:00 UTC,DJ_O,62.15,82.03,90.02,443.11,-88.37,85.22,70.26,54.86
2019-11-15 07:00:00 UTC,DJ_O,43.84,57.79,63.58,504.89,-88.07,94.96,55.29,44.44
2019-11-15 08:00:00 UTC,DJ_O,27.01,35.01,38.8,562.93,-88.24,101.21,45.79,32.68
2019-11-15 09:00:00 UTC,DJ_O,32.13,41.4,45.91,623.31,-87.66,99,47.03,36.4
2019-11-15 10:00:00 UTC,DJ_O,33.65,43.17,47.37,684.04,-88.08,101.42,43.77,37.27
2019-11-15 11:00:00 UTC,DJ_O,19.93,25.22,28.31,744,-87.38,103.86,39.66,24.94
2019-11-15 12:00:00 UTC,DJ_O,20.54,25.81,28.75,804.31,-87.12,102.96,39.96,25.23
2019-11-15 13:00:00 UTC,DJ_O,16.06,20.34,22.75,869.4,-87.5,99.25,45.25,20.26
2019-11-15 14:00:00 UTC,DJ_O,15.23,19.21,21.45,922.81,-87.23,96.73,49.46,19.15
2019-11-15 15:00:00 UTC,DJ_O,16.52,21.1,23.72,980.48,-87.36,93.76,54.44,20.98
2019-11-15 16:00:00 UTC,DJ_O,22.34,28.19,31.25,105.17,-87.42,91.92,57,26.84
2019-11-15 17:00:00 UTC,DJ_O,25.14,31.73,35.11,64.81,-87.59,91.22,59.89,29.65
2019-11-15 18:00:00 UTC,DJ_O,28.27,36.14,40.09,127.12,-87.81,89.58,64.5,32.5
2019-11-15 19:00:00 UTC,DJ_O,32.03,40.96,45.12,182.85,-87.95,89,66.1,35.32
2019-11-15 20:00:00 UTC,DJ_O,27.91,35.51,40.04,238.12,-88.06,89,65.56,32.23
2019-11-15 21:00:00 UTC,DJ_O,23.64,30.57,34.36,302.69,-88.19,89.04,64.77,29.33
2019-11-15 22:00:00 UTC,DJ_O,24.57,32.33,37.12,365,-88.17,87.27,69.07,30.94
2019-11-15 23:00:00 UTC,DJ_O,28.75,38.44,43.77,425,-88.07,86.3,71.43,34.76
2019-11-16 00:00:00 UTC,DJ_O,48.37,66.79,75.57,484.41,-89.1,85.17,74.97,48.1
2019-11-16 01:00:00 UTC,DJ_O,47.9,64.14,71.81,542.28,-88.67,84.78,75,48.73
2019-11-16 02:00:00 UTC,DJ_O,33.43,45.48,51.46,605,-89.23,85,74.8,38.72
2019-11-16 03:00:00 UTC,DJ_O,27.25,36.84,41.33,665,-89.4,84.97,74.6,33.83
2019-11-16 04:00:00 UTC,DJ_O,30.08,40.04,44.32,725,-89.77,84.7,74.6,35.75
