created_at,site,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,ADC,Pressure_hpa,IAQ,PM2.5_ATM_ug/m3
2019-04-08 17:00:00 UTC,DJ_U,27.83,69.37,134.77,30818.5,0.01,871.27,,47.31
2019-04-08 18:00:00 UTC,DJ_U,0.02,0.14,0.17,30816,0.01,871.11,,0.14
2019-04-09 14:00:00 UTC,DJ_U,0.22,0.58,0.7,31312,0.01,858.96,,0.58
2019-04-09 15:00:00 UTC,DJ_U,17.93,46.26,89.37,31304.53,0.01,858.78,,31.31
2019-04-09 16:00:00 UTC,DJ_U,0.09,0.07,0.2,31150.5,0.01,858.96,,0.07
2019-11-13 11:00:00 UTC,DJ_U,27.73,41.45,56.47,22192.92,0,1006.89,,34.38
2019-11-13 12:00:00 UTC,DJ_U,19.7,26.31,30.27,19330.67,0,1006.05,,25.92
2019-11-13 13:00:00 UTC,DJ_U,21.51,27.68,30.49,19358.93,0,1005.08,,27.11
2019-11-13 14:00:00 UTC,DJ_U,18.5,23.82,26.36,19279.17,0,1004.44,,23.47
2019-11-13 15:00:00 UTC,DJ_U,18.23,23.61,26.78,19237.33,0,1004.28,,22.85
2019-11-13 16:00:00 UTC,DJ_U,20.71,26.65,30.16,19405.07,0.01,1004.47,,25.43
2019-11-13 17:00:00 UTC,DJ_U,25.1,31.41,34.65,19217.07,0.01,1005.13,,29.24
2019-11-13 18:00:00 UTC,DJ_U,28.64,37.01,41.26,19036,0.01,1005.43,,32.38
2019-11-13 19:00:00 UTC,DJ_U,27.29,35.11,39.15,19077.6,0.01,1006.09,,31.15
2019-11-13 20:00:00 UTC,DJ_U,20.81,27.02,30.18,19170.93,0.01,1007.18,,26.43
2019-11-13 21:00:00 UTC,DJ_U,20.06,26.54,30.29,18964,0.01,1007.97,,26.08
2019-11-13 22:00:00 UTC,DJ_U,17.43,22.87,25.74,19165.87,0.01,1007.97,,22.82
2019-11-13 23:00:00 UTC,DJ_U,23.81,32.04,36.16,19204.27,0.01,1007.78,,30.65
2019-11-14 00:00:00 UTC,DJ_U,30.75,42.04,47.36,19230.93,0.01,1007.48,,36.85
2019-11-14 01:00:00 UTC,DJ_U,29.02,40.06,45.89,19198.67,0.01,1006.71,,35.58
2019-11-14 02:00:00 UTC,DJ_U,28.27,38.53,43.44,19221.07,0.01,1006.28,,34.8
2019-11-14 03:00:00 UTC,DJ_U,29.35,40.22,45.13,19300.8,0.01,1006.24,,35.8
2019-11-14 04:00:00 UTC,DJ_U,40.42,52.98,57.54,19209.6,0.01,1006.25,,43.58
2019-11-14 05:00:00 UTC,DJ_U,24.35,32.01,35.26,19187.47,0.01,1006.91,,30.84
2019-11-14 06:00:00 UTC,DJ_U,21.81,28.55,31.34,19357.33,0.01,1007.9,,28.07
2019-11-14 07:00:00 UTC,DJ_U,23.29,33.29,38.8,19048.27,0.01,1009.21,,30.86
2019-11-14 08:00:00 UTC,DJ_U,9.96,13.86,15.89,19023.73,0.01,1010.03,,13.8
2019-11-14 09:00:00 UTC,DJ_U,7.08,9.6,10.82,19230.4,0.01,1010.26,,9.6
2019-11-14 10:00:00 UTC,DJ_U,15.38,20.81,23.29,19413.52,0.01,1009.61,,19.58
2019-11-14 11:00:00 UTC,DJ_U,14.52,19.32,21.26,19284,0.01,1008.68,,19.31
2019-11-14 12:00:00 UTC,DJ_U,19.52,25.56,28.25,19114.67,0.01,1007.56,,25.18
2019-11-14 13:00:00 UTC,DJ_U,19.74,26.01,28.86,19206.93,0,1006.43,,25.68
2019-11-14 14:00:00 UTC,DJ_U,24.67,32.37,36.33,19177.07,0,1005.71,,30.37
2019-11-14 15:00:00 UTC,DJ_U,24.68,32.14,35.41,19167.72,0,1005.53,,30.62
2019-11-14 16:00:00 UTC,DJ_U,37.53,48.69,54.33,19130.67,0.01,1005.69,,39.72
2019-11-14 17:00:00 UTC,DJ_U,44.26,57.14,62.93,18982.8,0.01,1005.99,,44
2019-11-14 18:00:00 UTC,DJ_U,34.63,45.19,49.67,19060,0.01,1006.95,,37.84
2019-11-14 19:00:00 UTC,DJ_U,35.62,46.8,51.82,19279.73,0.01,1007.53,,39.46
2019-11-14 20:00:00 UTC,DJ_U,34.5,46.08,51.41,19160.3,0.01,1008.2,,39.11
2019-11-14 21:00:00 UTC,DJ_U,49.89,68.07,75.73,18662.4,0.01,1008.73,,48.48
2019-11-14 22:00:00 UTC,DJ_U,56.07,76.61,85.63,18787.33,0.01,1008.62,,51.82
2019-11-14 23:00:00 UTC,DJ_U,47.6,65.36,73.44,19422.77,0.01,1008.04,,47.5
2019-11-15 00:00:00 UTC,DJ_U,48.27,66.58,74.39,19353.07,0.01,1007.58,,48.04
2019-11-15 01:00:00 UTC,DJ_U,42.92,59,66.03,19268,0.01,1006.81,,45.02
2019-11-15 02:00:00 UTC,DJ_U,35.94,48.82,54.29,19248.8,0.01,1006.5,,40.47
2019-11-15 03:00:00 UTC,DJ_U,40.81,55.94,62.28,19267.73,0.01,1006.5,,43.62
2019-11-15 04:00:00 UTC,DJ_U,38.19,52.74,59.05,19279.2,0.01,1006.69,,42.31
2019-11-15 05:00:00 UTC,DJ_U,47.19,64.07,71.31,19284.14,0.01,1007.21,,47.05
2019-11-15 06:00:00 UTC,DJ_U,61.85,81.26,88.79,19421.44,0.01,1007.67,,54.34
2019-11-15 07:00:00 UTC,DJ_U,43.28,57.05,62.33,19250.29,0,1008.28,,44.09
2019-11-15 08:00:00 UTC,DJ_U,27.13,35.32,38.77,19124,0,1008.81,,32.8
2019-11-15 09:00:00 UTC,DJ_U,31.61,41.05,45.01,19094.07,0,1008.64,,36.14
2019-11-15 10:00:00 UTC,DJ_U,33.21,42.94,47.03,18829.85,0,1008.29,,37.03
2019-11-15 11:00:00 UTC,DJ_U,19.66,25.2,27.39,19352.8,0,1007.52,,24.91
2019-11-15 12:00:00 UTC,DJ_U,19.62,25.55,27.99,18933.76,0,1006.39,,24.85
2019-11-15 13:00:00 UTC,DJ_U,15.02,19.37,21.3,18171.6,0,1005.84,,19.33
2019-11-15 14:00:00 UTC,DJ_U,14.13,18.15,20.27,19274.46,0.01,1005.42,,18.09
2019-11-15 15:00:00 UTC,DJ_U,15.01,19.45,21.65,19265.92,0.01,1005.15,,19.43
2019-11-15 16:00:00 UTC,DJ_U,21.81,28,30.84,16678.55,0.01,1005.5,,26.63
2019-11-15 17:00:00 UTC,DJ_U,24.2,30.4,33.39,18250.07,0.01,1005.82,,28.6
2019-11-15 18:00:00 UTC,DJ_U,27.14,34.79,38.27,18891.08,0.01,1006.59,,31.6
2019-11-15 19:00:00 UTC,DJ_U,31.31,39.97,43.87,18695.2,0.01,1007.28,,34.6
2019-11-15 20:00:00 UTC,DJ_U,28.72,36.46,40.32,19112,0.01,1008.05,,32.73
2019-11-15 21:00:00 UTC,DJ_U,23.63,30.48,34,19403.08,0.01,1008.55,,29.19
2019-11-15 22:00:00 UTC,DJ_U,24.43,32.22,36.48,19173.6,0.01,1008.54,,30.8
2019-11-15 23:00:00 UTC,DJ_U,28.24,37.71,42.35,19317.07,0.01,1008.14,,34.27
2019-11-16 00:00:00 UTC,DJ_U,46.86,64.23,72.3,19352.83,0.01,1007.27,,47.06
2019-11-16 01:00:00 UTC,DJ_U,45.93,61.52,68.05,19353.33,0.01,1006.48,,47.42
2019-11-16 02:00:00 UTC,DJ_U,33.14,44.98,50.11,19140.53,0.01,1006.22,,38.39
2019-11-16 03:00:00 UTC,DJ_U,26.47,36,39.97,19239.47,0.01,1006.33,,33.23
2019-11-16 04:00:00 UTC,DJ_U,30.07,40.22,44.54,19271.73,0.01,1006.66,,35.81
2019-11-16 05:00:00 UTC,DJ_U,45.4,61.14,67.38,19284.8,0.01,1006.9,,45.69
2019-11-16 06:00:00 UTC,DJ_U,43.52,57.88,63.6,19385.07,0.01,1007.16,,44.45
2019-11-16 07:00:00 UTC,DJ_U,27.92,37.15,41.58,19352.8,0.01,1007.9,,33.86
2019-11-16 08:00:00 UTC,DJ_U,24.74,33.28,38.22,19395.6,0,1008.37,,31.28
