nodeId,timeUtc,aqi,pm1MassConcCalib[ug/m3],pm1MassConcRaw[ug/m3],pm1NumConcRaw[#/cm^3],pm2_5MassConcCalib[ug/m3],pm2_5MassConcRaw[ug/m3],pm2_5NumConcRaw[#/cm^3],pm10MassConcCalib[ug/m3],pm10MassConcRaw[ug/m3],pm10NumConcRaw[#/cm^3],no2ConcCalib[ppb],no2ConcRaw[ppb],pmCoarseMassConcRaw[ug/m3],so2ConcRaw[ppb],o3ConcRaw[ppb],coConcRaw[ppb],noConcRaw[ppb],noxConcRaw[ppb],pressure[kPa],dewPoint[degC],internalTemperature[degC],internalRelHumidity[%],tVocConc[ppb],eCo2Conc[ppb],latitude,longitude
A4ZTW82Y,2019-06-10T03:00:00.000Z,86,,32.64,,28.68,48.14,80.01,,61.66,80.3,,,,,,,,,,,29.74,77.18,,,5.532084,-0.214926
A4ZTW82Y,2019-06-10T02:00:00.000Z,82,,30,,26.97,44.96,69.57,,58.1,69.85,,,,,,,,,,,29.73,77.15,,,5.532084,-0.214926
A4ZTW82Y,2019-06-10T01:00:00.000Z,82,,30.11,,26.77,44.58,69.91,,57.02,70.12,,,,,,,,,,,29.79,77.16,,,5.532084,-0.214926
A4ZTW82Y,2019-06-10T00:00:00.000Z,83,,30.95,,27.12,45.24,72.61,,58.05,72.89,,,,,,,,,,,29.75,77.11,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T23:00:00.000Z,85,,31.48,,28.07,47,76.39,,61.38,76.66,,,,,,,,,,,29.77,77.02,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T22:00:00.000Z,86,,32.52,,28.91,48.57,80.13,,62.05,80.47,,,,,,,,,,,29.77,76.94,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T20:00:00.000Z,88,,34.48,,29.78,50.19,89.43,,61.95,89.62,,,,,,,,,,,30,76.37,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T19:00:00.000Z,85,,31.9,,28.06,47,78.41,,60.39,78.67,,,,,,,,,,,30.05,76.07,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T17:00:00.000Z,79,,28.25,,25.22,41.69,62.08,,52.08,62.26,,,,,,,,,,,30.25,76.05,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T15:00:00.000Z,77,,27.5,,24.55,40.45,60.58,,50.93,60.78,,,,,,,,,,,30.14,76.3,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T14:00:00.000Z,76,,27.47,,23.9,39.24,59.38,,47.88,59.5,,,,,,,,,,,30.11,76.17,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T12:00:00.000Z,82,,30.24,,26.69,44.45,70.1,,56.69,70.35,,,,,,,,,,,29.92,76.23,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T10:00:00.000Z,86,,33,,28.6,48,82.82,,61.8,83.08,,,,,,,,,,,29.71,77.3,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T09:00:00.000Z,86,,33,,28.7,48.19,82.18,,60.38,82.35,,,,,,,,,,,29.51,77.71,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T07:00:00.000Z,98,,41.72,,34.47,58.93,106.15,,72.52,106.56,,,,,,,,,,,29.44,77.93,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T06:00:00.000Z,87,,33.04,,29.16,49.04,82.33,,64,82.67,,,,,,,,,,,29.28,77.95,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T04:00:00.000Z,83,,30.62,,27.42,45.8,71.91,,60.35,72.21,,,,,,,,,,,29.33,77.83,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T03:00:00.000Z,82,,30.48,,26.86,44.76,70.75,,56.62,70.98,,,,,,,,,,,29.48,77.57,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T02:00:00.000Z,83,,30.36,,27.11,45.22,70.58,,57.86,70.84,,,,,,,,,,,29.52,77.66,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T01:00:00.000Z,83,,30.52,,27.12,45.24,71.22,,58.81,71.47,,,,,,,,,,,29.44,77.69,,,5.532084,-0.214926
A4ZTW82Y,2019-06-09T00:00:00.000Z,81,,29.94,,26.55,44.18,69.7,,55,69.85,,,,,,,,,,,29.52,77.58,,,5.532084,-0.214926
A4ZTW82Y,2019-06-08T23:00:00.000Z,82,,30.36,,26.86,44.76,70.64,,57.05,70.86,,,,,,,,,,,29.82,77.34,,,5.532084,-0.214926
A4ZTW82Y,2019-06-08T22:00:00.000Z,82,,30.84,,26.92,44.86,72.31,,57.58,72.52,,,,,,,,,,,29.76,77.26,,,5.532084,-0.214926
A4ZTW82Y,2019-06-08T20:00:00.000Z,84,,32.52,,27.66,46.24,78.59,,58.52,78.86,,,,,,,,,,,29.79,77.13,,,5.532084,-0.214926
A4ZTW82Y,2019-06-08T18:00:00.000Z,79,,28.6,,25.27,41.79,64.45,,52.48,64.65,,,,,,,,,,,29.83,76.58,,,5.532084,-0.214926
A4ZTW82Y,2019-06-08T17:00:00.000Z,72,,24.81,,22.26,36.19,50.82,,46.26,51.02,,,,,,,,,,,29.8,76.52,,,5.532084,-0.214926
A4ZTW82Y,2019-06-08T16:00:00.000Z,72,,24,,21.88,35.47,48.84,,45.41,49.04,,,,,,,,,,,29.88,76.16,,,5.532084,-0.214926
A4ZTW82Y,2019-06-08T15:00:00.000Z,73,,25.41,,22.41,36.47,52.22,,45.29,52.38,,,,,,,,,,,29.73,76.24,,,5.532084,-0.214926
A4ZTW82Y,2019-06-08T10:00:00.000Z,92,,39.31,,31.58,53.55,103.93,,69.96,104.26,,,,,,,,,,,29.23,75.97,,,5.532084,-0.214926
A4ZTW82Y,2019-06-08T09:00:00.000Z,111,,49.82,,39.57,68.43,126.86,,77.11,127.24,,,,,,,,,,,29.11,75.92,,,5.532084,-0.214926
