created_at,PM1.0_CF1_ug/m3,PM2.5_CF1_ug/m3,PM10.0_CF1_ug/m3,UptimeMinutes,RSSI_dbm,PM2.5_ATM_ug/m3
2019-07-30 14:00:00 UTC,26.25,36.19,37.93,5.86,-80.29,32.96
2019-07-30 15:00:00 UTC,,,,,,
2019-07-30 16:00:00 UTC,,,,,,
2019-07-30 17:00:00 UTC,27.82,43.42,45.34,4,-91,37.55
2019-07-30 18:00:00 UTC,35.4,51.62,54.02,21,-74.06,41.42
2019-07-30 19:00:00 UTC,31.49,46.58,49.2,67,-74.33,38.96
2019-07-30 20:00:00 UTC,24.02,35.97,37.79,127,-73.57,33
2019-07-31 07:00:00 UTC,36.15,55.98,58.87,31,-74.63,43.69
2019-07-31 08:00:00 UTC,32.92,49.37,51.73,91,-75.33,40.5
2019-07-31 09:00:00 UTC,26.36,38.57,40.41,151,-75.57,34.56
2019-07-31 10:00:00 UTC,24.22,35.38,36.82,211,-76.27,32.59
2019-07-31 11:00:00 UTC,26.21,37.9,39.47,271,-76.07,34.27
2019-07-31 12:00:00 UTC,28.55,40.61,42.41,331,-75.73,35.71
2019-07-31 13:00:00 UTC,28.04,39.96,41.53,391,-75.37,35.46
2019-07-31 14:00:00 UTC,28.33,40.9,42.73,451,-76,35.87
2019-07-31 15:00:00 UTC,28.81,40.8,42.44,511,-75.93,35.67
2019-07-31 16:00:00 UTC,29.23,41.85,43.78,571,-75.7,36.48
2019-07-31 17:00:00 UTC,33.77,49.11,51.37,630,-75.52,40.19
2019-07-31 18:00:00 UTC,46.32,68.37,72.33,29,-76.46,49.55
2019-07-31 19:00:00 UTC,54.85,85.37,91.16,87,-75.2,59.39
2019-07-31 20:00:00 UTC,49.61,78.8,84.5,147,-75.3,55.02
2019-08-01 07:00:00 UTC,33.7,53.19,56.43,62,-75.52,42.57
2019-08-01 08:00:00 UTC,31.93,49.12,51.89,121,-74.87,40.5
2019-08-01 09:00:00 UTC,28.22,42.88,45.08,181,-75.1,37.09
2019-08-01 10:00:00 UTC,29.78,43.62,45.49,241,-74.87,37.43
2019-08-01 11:00:00 UTC,30.84,45.74,47.92,301,-72.83,38.71
2019-08-01 12:00:00 UTC,28.91,43.25,45.35,361,-72.6,37.46
2019-08-01 13:00:00 UTC,30,43.37,45.43,421,-73.03,37.34
2019-08-01 14:00:00 UTC,30.08,43.62,45.47,481,-72.47,37.5
2019-08-01 15:00:00 UTC,28.68,41.51,43.39,541,-72.77,36.32
2019-08-01 16:00:00 UTC,29.39,43.41,45.55,601,-72.77,37.44
2019-08-01 17:00:00 UTC,29.17,43.28,45.65,661,-72.67,37.38
2019-08-01 18:00:00 UTC,40,59.52,62.76,720.83,-72.48,45.09
2019-08-01 19:00:00 UTC,36.72,55.25,58.21,249.73,-72.23,43.42
2019-08-01 20:00:00 UTC,31.68,48.26,50.78,57,-72.2,40.06
2019-08-02 07:00:00 UTC,39.13,60.9,64.27,30,-72.48,45.81
2019-08-02 08:00:00 UTC,37.51,59.06,62.46,88.03,-72.07,45.07
2019-08-02 09:00:00 UTC,31.79,49.05,51.51,149.2,-72.27,40.55
2019-08-02 10:00:00 UTC,35.2,53.69,56.32,203.5,-73.95,42.5
2019-08-02 11:00:00 UTC,40.09,59.48,62.4,269.33,-81.27,45.18
2019-08-02 12:00:00 UTC,33.98,49.99,52.21,328.32,-81.43,40.98
2019-08-02 13:00:00 UTC,35.46,52.57,55.24,392.38,-79.76,42.11
2019-08-02 14:00:00 UTC,37.5,54.18,56.61,448.63,-77.67,42.72
2019-08-02 15:00:00 UTC,32.97,47.8,49.95,510.18,-77.14,39.73
2019-08-02 16:00:00 UTC,,,,,,
2019-08-02 17:00:00 UTC,,,,,,
2019-08-02 18:00:00 UTC,40.48,58.31,60.86,47,-77,44.76
2019-08-02 19:00:00 UTC,36.12,53.07,55.68,87,-76.63,42.5
2019-08-02 20:00:00 UTC,35.97,53.28,56,147,-76.63,42.87
2019-08-02 21:00:00 UTC,39.03,56.76,59.02,14,-93,44.21
2019-08-02 22:00:00 UTC,30.47,47.16,49.74,29.53,-93.18,39.45
2019-08-02 23:00:00 UTC,31.05,47.82,50.42,89.59,-92.86,39.76
2019-08-03 00:00:00 UTC,26.93,43.87,46.69,145.56,-92.64,37.82
2019-08-03 01:00:00 UTC,27.47,44.04,46.78,207.56,-92.92,37.92
2019-08-03 02:00:00 UTC,22.15,35.95,38.08,267.96,-92.56,33.26
2019-08-03 03:00:00 UTC,23.43,37.05,39.06,328.38,-92.75,33.95
2019-08-03 04:00:00 UTC,28.43,44.61,47.08,385.92,-92.08,38.06
2019-08-03 05:00:00 UTC,38.62,57.51,60.38,393.59,-93.19,44.41
2019-08-03 06:00:00 UTC,42.09,62.49,65.61,38.81,-92.07,46.78
2019-08-03 07:00:00 UTC,39.14,58.61,61.81,91.5,-94.75,45.04
2019-08-03 08:00:00 UTC,39.44,57.26,59.76,21.22,-92.33,44.36
2019-08-03 09:00:00 UTC,34.55,50.6,52.92,63.25,-93.12,41.15
2019-08-03 10:00:00 UTC,30.39,43.67,45.64,124.04,-92.92,37.29
2019-08-03 11:00:00 UTC,23.59,34.03,35.48,182.07,-92.2,31.56
2019-08-03 12:00:00 UTC,21.71,31.33,32.58,240.37,-93,29.83
2019-08-03 13:00:00 UTC,23.26,34.28,35.88,299.32,-93.23,31.78
2019-08-03 14:00:00 UTC,19.78,29.12,30.32,363.21,-92.79,28.21
2019-08-03 15:00:00 UTC,20.49,29.83,31.12,421,-91.57,28.56
2019-08-03 16:00:00 UTC,22.14,32.4,33.84,481,-91.73,30.51
2019-08-03 17:00:00 UTC,29.74,44.63,46.92,541,-91.63,38.05
2019-08-03 18:00:00 UTC,38.27,57.05,60.11,601,-91.63,44.42
2019-08-03 19:00:00 UTC,37.8,55.2,57.96,661,-91.53,43.27
2019-08-03 20:00:00 UTC,26.53,39.14,41.03,721,-91.63,34.89
2019-08-03 21:00:00 UTC,23.5,35.06,36.86,781,-91.83,32.51
2019-08-03 22:00:00 UTC,23.06,34.6,36.38,841,-91.43,32.38
2019-08-03 23:00:00 UTC,27.19,41.17,43.43,901,-91.37,36.06
2019-08-04 00:00:00 UTC,20.6,32.31,34.54,961,-90.93,30.91
2019-08-04 01:00:00 UTC,19.05,30.73,32.67,1021,-92.13,29.85
2019-08-04 02:00:00 UTC,17.57,28,29.67,1081,-92.03,27.76
2019-08-04 03:00:00 UTC,19.85,31.26,32.97,1141.03,-92.07,30.15
2019-08-04 04:00:00 UTC,27.98,43.28,45.75,1201.47,-92.07,37.35
2019-08-04 05:00:00 UTC,48.78,76.09,81.21,1262,-92.37,51.7
2019-08-04 06:00:00 UTC,50.9,76.89,81.38,1322.07,-92.07,52.64
2019-08-04 07:00:00 UTC,44.19,67.97,72.22,1382,-91.8,48.99
